OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,PARK_ID,REGION,ShapeSTArea,ShapeSTLength
14,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77215033,2060 Commonwealth Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,904850.9558,4005.023241
15,Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47302947,Adair Road/Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,64166.30469,1064.40426
16,St John's Seminary,Private, ,6,Allston-Brighton,59.97256943, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,,INFO_Reallocation From Dept,2612451.57,7708.715051
17,The Cenacles,Private,A97/CR,6,Allston-Brighton,15.33969764, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private,X,X, ,,0,0,,INFO_Reallocation From Dept,668209.1104,4949.196631
18,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17116962,Adjacent to 91 Foster St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Galvin Park,,0,0,,PARK_Maintenance_Region 4,355942.4768,2579.293015
19,Euston Path Rock,City of Boston,,6,Allston-Brighton,0.39015654, ,Open Space District,Urban Wilds & Natural Areas,NULL,,N,N, ,DND,0,0,,PARK_Maintenance_Ground Maintenance,16856.35205,546.238365
20,Turnpike Overlook,MassDOT, ,6,Allston-Brighton,3.15, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,,INFO_Reallocation From Dept,137407.7368,3711.089774
21,Foster Street Hill,Private, ,6,Allston-Brighton,3.40605727, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,,INFO_Reallocation From Dept,180392.1904,2182.592229
22,Foster Street Rock,Private, ,6,Allston-Brighton,4.62718042, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,,INFO_Reallocation From Dept,201563.5537,1942.774105
23,Boston College Athletic Fields,Private, ,3,Allston-Brighton,9.72386143, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N, ,,0,0,,INFO_Reallocation From Dept,423578.9351,3571.941702
24,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,18.90802906,Opposite 44 Lake Shore Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Gallagher Mem. Park,,0,0,,PARK_Maintenance_Region 4,829074.7837,4020.124947
25,Nonquit Green,Community Group/Nonprofit,Land Trust,1,Dorchester,0.35746179, ,Residential District,"Malls, Squares & Plazas",NULL,Nonquit Street Nbhd Assn,N,X, ,,0,0,,INFO_Reallocation From Dept,17838.01489,548.7130041
26,Mullen Square,City of Boston,A97,1,Dorchester,0.22675059,Edison Green,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,9877.431641,409.1872686
27,Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30391727, ,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,143921.1965,1827.534139
28,Calf Pasture I,City of Boston,WPA/Ch91,6,Dorchester,1.93, ,Institutional District,Urban Wilds & Natural Areas,NULL, ,N,X,Columbia Point,PWD,0,0,,INFO_Reallocation From Dept,83966.5957,2333.929499
29,Meetinghouse Hill Overlook,City of Boston, ,6,Dorchester,0.40922366, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,,PARK_Maintenance_Ground Maintenance,14713.44922,760.8825696
30,Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.80889778,43 Downer Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,32827.32764,913.5091969
31,The Humps,City of Boston, ,6,Dorchester,0.92720636, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,40564.79688,985.5739435
32,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.3724094,Quincy Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,16344.86816,529.7907322
33,Deer Street Park,City of Boston,A97,3,Dorchester,0.24478116,Opposite 34 Deer Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,10740.09399,487.0571896
34,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,2.98993894, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,149575.5303,3618.982975
35,Coppens Square,City of Boston,A97,1,Dorchester,0.35701954,Opposite 344 Bowdoin Str.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square,BPRD,0,0,,PARK_Maintenance_Region 2,15552.04785,489.7137407
36,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/Ch91,2,Dorchester,7.99, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,346519.2263,6651.049296
37,McConnell Park,City of Boston,A97,3,Dorchester,6.20127641,28 Denny Str./Playstead Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,279017.4705,3043.681372
38,Boston Common,City of Boston,A97/NHL,3,Back Bay/Beacon Hill,46.52264921,139 Tremont Str. @VIC,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,,0,0,,PARK_Maintenance_Region 1,1992352.513,6329.298656
39,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.49,Opposite 123 Boylston Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,64864.22852,1105.081488
40,Public Garden,City of Boston,A97,3,Back Bay/Beacon Hill,23.51,"Boylston, Arlington, Charles",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,,0,0,,PARK_Maintenance_Region 1,1023949.009,4131.461326
41,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Back Bay/Beacon Hill,1.86,Opposite 110 Tremont,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,80878.57568,1160.13387
42,Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11526636,Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,,0,0,,PARK_Maintenance_Region 1,5021.092529,330.5540531
43,Myrtle Street Playground,City of Boston,A97,3,Back Bay/Beacon Hill,0.14766565,Opposite 28 Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,7001.397705,342.2984122
44,Louisburg Square,Private, ,1,Back Bay/Beacon Hill,0.32409576, ,Residential District,"Malls, Squares & Plazas",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,14117.86157,596.0684784
45,State House Park,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,1.23870543, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,53958.96777,987.8163573
46,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85428821,St. James Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,80774.23193,1400.216411
47,Prudential Center Plaza I,Private, ,1,Back Bay/Beacon Hill,1.0626591, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X,Boylston Str. Plaza,,0,0,,INFO_Reallocation From Dept,46290.25391,901.7771394
48,Clarendon Street Totlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.33235436, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,14108.89966,475.6489393
49,Somerset Street Plaza,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,0.93030039, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,29558.61206,854.7776967
50,DeFilippo Playground,City of Boston,A97,3,Central Boston,1.11555607,135 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,,PARK_Maintenance_Region 1,48701.71021,969.026372
51,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.98141665,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,86312.04443,1311.859349
52,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.61198844,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,26658.69043,682.8574565
53,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.10503572, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,4686.06958,298.4072573
54,Charter Street Park,City of Boston,A97,3,Central Boston,0.23534031,Opposite 26 Charter Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,10397.58252,495.8211538
55,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.78520749,Opposite 415 Hanover Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,The Prado,,0,0,,PARK_Maintenance_Region 1,34204.24585,1027.832218
56,Polcari Park,City of Boston,A97,3,Central Boston,0.28857259,Opposite 44 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,12570.44556,529.0431234
57,Cutillo Park,City of Boston,A97,3,Central Boston,0.28491861,Opposite 15 Stillman Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,12603.56885,505.5613495
58,City Hall Plaza,BRA,A97,1,Central Boston,5.93146518, ,Open Space District,"Malls, Squares & Plazas",NULL, ,X,X,City Hall Square,,0,0,,PARK_Maintenance_Ground Maintenance,261953.2056,2862.081899
59,Cardinal Cushing Park I,BRA,,1,Central Boston,0.35,"IFO 15 New Chardon Street (""One Bowdoin Square"")",Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,PARK_Maintenance_Region 1,15275.91748,486.708447
60,Norman B. Leventhal Park,Private,A97/Agrmnt,3,Central Boston,1.54521864,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,Post Office Square Park,,0,0,,INFO_Reallocation From Dept,67832.95117,1076.306888
61,Pemberton Square I,BRA, ,1,Central Boston,0.18485239, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,8052.312256,379.3178496
62,Pemberton Square II,City of Boston, ,1,Central Boston,1.06216494, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,46268.71875,1543.077362
63,Angell Memorial Square,City of Boston,A97,1,Central Boston,0.17663084,Congress Str.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,7694.176514,390.1273121
64,Union Street Park I,BRA,A97,1,Central Boston,0.51,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,Holocaust Memorial;  Curley Memorial,BRA,0,0,,PARK_Maintenance_Ground Maintenance,22141.73022,908.9222011
65,Langone Park,City of Boston,A97/Ch91/WPA,3,Central Boston,2.18,529 Commercial Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,95123.42188,1350.239931
66,School Street Park,BRA, ,1,Central Boston,0.08,Opposite 308 Washington St,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,3257.80835,246.6347906
67,Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.28, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,55927.80835,2133.610245
68,Ausonia Plaza,BRA, ,1,Central Boston,0.19623955, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,8548.346924,373.3214527
69,Rachel Revere Square,City of Boston,A97,1,Central Boston,0.07859187,210 North St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,3500.370361,238.4433059
70,Tai Tung Park,City of Boston,A97,3,Central Boston,0.03323863,"110 Tyler Street, Corner w/Tai Tung St.",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Tai Tung Tot Lot,,0,0,,PARK_Maintenance_Region 1,1458.972656,185.3114135
71,Pine Street Park,BRA, ,3,Central Boston,0.27166117, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,12309.17969,543.203011
72,Quincy Market Square,BRA, ,1,Central Boston,1.56, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X,Quincy Market,,0,0,,INFO_Reallocation From Dept,67903.14136,3500.21832
73,Winthrop Square,City of Boston, ,1,Central Boston,0.15268647, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,6651.144531,339.1522751
74,Edwards Playground,City of Boston,A97,3,Charlestown,1.34,10 Eden Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,McCarthy-Eden Plgd,,0,0,,PARK_Maintenance_Region 1,58311.89233,1051.742739
75,City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.21, ,Open Space District,"Malls, Squares & Plazas",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,52650.46021,912.8265706
76,John Harvard Mall,City of Boston,A97,1,Charlestown,0.82977059, ,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,36145.45044,934.5504796
77,Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40013027, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,278794.6121,2132.106147
78,Charlestown HS Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.42,Opposite 240 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Little Mystic Harborwalk,,0,0,,PARK_Maintenance_Region 1,453734.6108,5785.193681
79,Ryan Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,8.78,62 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,382283.0789,2922.478713
80,Gardens for Charlestown,Private,Land Trust,5,Charlestown,0.36291476, ,Commercial/Office/Business District,Community Gardens,NULL, ,N, ,Sullivan Sq. CG,,0,0,,INFO_Reallocation From Dept,15808.84863,512.3737042
81,Barry Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,3.32,41 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,154686.3945,1668.701864
82,Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.02175616,349 Bunker Hill Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,163447.6875,1672.622076
83,St Francis De Sales Cemetery,Private, ,4,Charlestown,1.79538401, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,78208.3186,1357.770161
84,Bunker Hill Monument,United States of America,A97/NRHP/PR,1,Charlestown,3.75283998, ,Residential District,"Malls, Squares & Plazas",National Park Service, ,X,X,Monument Sq.,,0,0,,INFO_Reallocation From Dept,163476.616,1620.876188
85,Phipp's Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.7478712, ,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,A, ,,0,0,,PARK_Maintenance_Ground Maintenance,74996.573,1071.119256
86,Winthrop Square,City of Boston,A97,1,Charlestown,0.9,"Winthrop, Common, Adams Sts.",Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Training Field,,0,0,,PARK_Maintenance_Region 1,39238.9729,753.054851
87,Hayes Square,City of Boston,A97,1,Charlestown,0.17470544,Between Bunker Hill and Vine St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,7610.304688,378.0561509
88,Charlestown Sprouts Garden,City of Boston, ,5,Charlestown,0.48, ,Open Space District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Region 1,20758.90381,558.926316
89,East Boston Memorial Park I,City of Boston,A97,3,East Boston,14.79060502, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Satori Stadium,,0,0,,PARK_Maintenance_Region 1,770074.5146,7044.28158
90,Noyes Playground,City of Boston,A97,3,East Boston,8.22374845,86 Boardman St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,362270.7876,2733.8207
91,Bayswater Street,Massport, ,6,East Boston,1.70395628, ,Special District,Urban Wilds & Natural Areas,Massport, ,N,X, ,,0,0,,INFO_Reallocation From Dept,74225.65723,3858.311085
92,Temple Ohabei Shalom Cemetery,Private, ,4,East Boston,2.33948186, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,101909.6421,1291.848112
93,Cuneo Park,City of Boston,A97,3,East Boston,0.23067238, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Saratoga St. Play Area,,0,0,,PARK_Maintenance_Region 1,10048.26782,400.9301017
94,Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.58974149,Opposite 490 Bennington Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,A, ,,0,0,,PARK_Maintenance_Ground Maintenance,156371.9194,1595.048628
95,American Legion Playground,City of Boston,A97,3,East Boston,3.38388095,24 Glendon Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,147249.7583,1538.690942
96,Prescott Square,City of Boston,A97,1,East Boston,0.27780017,Between Trenton and Eagle St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,11965.5686,479.9503431
97,Putnam Square,City of Boston,A97,1,East Boston,0.26354042, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,11622.74292,474.5940856
98,Paris Street Playground,City of Boston,A97,3,East Boston,0.79449789,121 Paris Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,34608.94336,889.1724297
99,Brophy Park,City of Boston,A97,3,East Boston,0.77383094,Opposite 195 Webster Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Belmont Square,,0,0,,PARK_Maintenance_Region 1,34084.66748,773.8729627
100,Sumner & Lamson Street Playground,City of Boston,A97,3,East Boston,0.48357588,Opposite 492 Sumner Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,20849.09888,617.0921447
101,Joe Ciampa Garden,BNAN,Land Trust,5,East Boston,0.22171011, ,Open Space District,Community Gardens,NULL, ,N, ,Marginal St. Gdns,,0,0,,PARK_Maintenance_Ground Maintenance,9784.936279,397.5641387
102,Condor Street Beach I,City of Boston,A97/LWCF/Ch91/W,6,East Boston,2.74,Opposite 255 Condor St. & American Legion Playground,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,,PARK_Maintenance_Region 1,119514.5769,1928.254293
103,Festa Field,Massport, ,3,East Boston,0.99445051, ,Special District,"Parks, Playgrounds & Athletic Fields",Massport, ,N, , ,,0,0,,INFO_Reallocation From Dept,43319.03442,841.5698101
104,Eagle Hill Memorial Park Garden,BNAN,Land Trust,5,East Boston,0.15315481, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,6671.54248,326.935205
105,East Boston Greenway,City of Boston,A97/WPA,2,East Boston,2.61096403,144 Marginal Str.,Residential District,"Parkways, Reservations & Beaches",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 1,152528.7354,5457.495376
106,Dom Savio Athletic Field,Private, ,3,East Boston,3.11070765, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,135504.8342,1801.650829
107,Fenway Park Field,Private, ,3,Fenway/Kenmore,2.78, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Baseball Field at Fenway Park,,0,0,,INFO_Reallocation From Dept,121268.3384,1376.70645
108,Symphony Community Park,City of Boston,A97,3,Fenway/Kenmore,0.49679593,Edgerly Road btwn Norway and Burbank Sts.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Morville Park,,0,0,,PARK_Maintenance_Region 3,20803.84082,777.0794678
109,Edgerly Road Playground,City of Boston,A97,3,Fenway/Kenmore,0.1081164,6 Edgerly Road,Special District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 3,5366.225342,301.1043834
110,Symphony Road Garden,BNAN,Land Trust,5,Fenway/Kenmore,0.29788615, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,12976.15186,492.4931045
111,Wentworth Field,Private, ,3,Fenway/Kenmore,2.98150699, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,129876.7534,1603.724621
112,Oscar Tugo Circle,City of Boston, ,1,Fenway/Kenmore,0.05755321, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,2507.058105,195.2533361
113,Commonwealth Avenue Mall II,City of Boston,A97,1,Fenway/Kenmore,0.98,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Commonwealth Ave Mall (west of Charlesgate),BPRD,0,0,,PARK_Maintenance_Region 3,42807.01831,1224.291643
114,Stony Brook Sewer Easement,Private,Sewer Easement,1,Fenway/Kenmore,0.28868284, ,Residential District,"Malls, Squares & Plazas",NULL,Private,N,X,Forsyth School Path,,0,0,,PARK_Maintenance_Region 3,13623.46191,557.0197127
115,Harry Ellis Dickson Park,City of Boston, ,1,Fenway/Kenmore,0.08351658, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,,PARK_Maintenance_Ground Maintenance,3649.33252,292.355414
116,Gallops Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,25.09405975, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,1093116.677,5244.11469
117,Lovells Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,60.95521299, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,2655256.282,9198.687669
